訪問,施設名,番号&施設名,google map,住所,TEL,料金,利用時間,定休日ほか,家族湯（貸切湯）,泉質,最寄りバス停,最寄り駅,駐車場,その他,URL,温泉道URL,
,別府温泉 住吉温泉,第13番 住吉温泉,https://maps.app.goo.gl/DqfVfvxGiVqdpYtx9?g_st=com.google.maps.preview.copy,別府市松原町18-23,なし,市内１５０円市外３００円,16:00〜22:45,なし,,炭酸水素塩泉,湯都ピア浜脇 3分,東別府駅7分,3台,,,https://onsendo.beppu-navi.jp/y13/,
,別府温泉 梅園温泉,第14番 梅園温泉,https://maps.app.goo.gl/6S4YS9NJKJsjmTT8A?g_st=com.google.maps.preview.copy,別府市元町5-23,なし,300円,11：00～22：00（受付　～21：30）,第４金曜,,単純温泉,流川２丁目　３分,別府駅7分,なし,,,https://onsendo.beppu-navi.jp/y14/,
,別府温泉 錦栄温泉,第15番 錦栄温泉,https://maps.app.goo.gl/hGbKwyXdT7P31muJ7?g_st=com.google.maps.preview.copy,別府市光町20-2,なし,100円,6:30〜10:00／12:00〜22:00、日曜6:30～22:00,なし,,単純温泉,流川8丁目 10分,別府駅12分,なし,,,https://onsendo.beppu-navi.jp/y15/,
,別府温泉 末広温泉,第17番 末広温泉,https://maps.app.goo.gl/1PoGtQhUxnqxs4846?g_st=com.google.maps.preview.copy,別府市末広町4-20,090-1530-2387,200円,7:00〜11:00、14:00〜22:00,毎月15日（8月は無休）,,単純温泉,永石６丁目　徒歩１分,別府駅10分,（条件付き）あり,,https://www.instagram.com/suehiroonsen_bp/,https://onsendo.beppu-navi.jp/y17/,
,別府温泉 野口温泉,第18番 野口温泉,https://maps.app.goo.gl/oKPJJC4nZwHLp2K97?g_st=com.google.maps.preview.copy,別府市野口元町4−25,なし,100円,7:00〜11:30／15:00〜22:30,なし,,単純温泉,別府駅西口　5分,別府駅5分,なし,,,https://onsendo.beppu-navi.jp/y18/,
,別府温泉 豊泉荘,第20番 豊泉荘,https://maps.app.goo.gl/mhJ3z6f21yrnfsu67?g_st=com.google.maps.preview.copy,別府市青山町5-73,0977-23-4281,500円,15:00～21:00,不定,,単純温泉,流川12丁目 2分,別府駅10分,100台,,https://www.housensou.com/,https://onsendo.beppu-navi.jp/y20/,
,別府温泉 竹と椿のお宿花べっぷ,第22番 竹と椿のお宿花べっぷ,https://maps.app.goo.gl/6B5JeGGYbZwjXjYz5?g_st=com.google.maps.preview.copy,別府市上田の湯町１６−５０,0977-22-0049,1泊2食　2万5500円～,IN 15:00 　OUT 11:00,,,炭酸水素塩泉,ホテル白菊前　徒歩１分,別府駅　徒歩　10分,15台,,https://www.hanabeppu.jp/,https://onsendo.beppu-navi.jp/y22/,
,別府温泉 別府亀の井ホテル,第25番 別府亀の井ホテル,https://maps.app.goo.gl/spqxd4nwM6PERNZD6?g_st=com.google.maps.preview.copy,別府市中央町５番17号,0977-22-3301,１泊朝食　7000円～,IN15:00   OUT11:00,,,単純温泉,流川６丁目,別府駅　徒歩　5分,300台,,https://kamenoi-hotels.com/beppu/,https://onsendo.beppu-navi.jp/y25/,
,別府温泉 ホテルニューツルタ,第26番 ホテルニューツルタ,https://maps.app.goo.gl/CuKPpS1RSTjX2Byf9?g_st=com.google.maps.preview.copy,別府市北浜1-14-15,0977-22-1110,800円,15:00〜17:00　要確認,年２回（５～６日）,,炭酸水素塩泉、塩化物泉,別府北浜 2分,別府駅8分,30台(宿泊者専用),,https://www.newtsuruta.com/,https://onsendo.beppu-navi.jp/y26/,
,別府温泉 悠彩の宿望海,第29番 悠彩の宿望海,https://maps.app.goo.gl/gybeQokHt9kR1h7U6?g_st=com.google.maps.preview.copy,別府市北浜3-8-7,0977-22-1241,１泊２食　１万7600円～,IN15:00〜OUT10:00,,,炭酸水素塩泉,別府タワー前 1分,別府駅13分,30台,,https://www.bokai.jp/,https://onsendo.beppu-navi.jp/y29/,
,別府温泉 べっぷ好楽,第30番 べっぷ好楽,https://maps.app.goo.gl/7LqGKC8VzgoBRWJg7?g_st=com.google.maps.preview.copy,別府市北浜3-13-21,0977-22-1331,540円,15:00〜21:00,,,炭酸水素塩泉,別府北浜 2分、北浜バスセンター1分,別府駅12分,35台,,https://koraku.net/,https://onsendo.beppu-navi.jp/y30/,
,別府温泉 べっぷ野上本館,第33番 べっぷ野上本館,https://maps.app.goo.gl/XRp4dWr6AVXSaiYV7?g_st=com.google.maps.preview.copy,別府市北浜1-12-1,0977-22-1334,500円,14:00〜16:00（平日のみ）,,"1,500円（50分5名迄）",炭酸水素塩泉,別府北浜 2分,別府駅8分,なし,,https://www.yukemuri.net/,https://onsendo.beppu-navi.jp/y33/,
,別府温泉 湯都ピア浜脇,第35番 湯都ピア浜脇,https://maps.app.goo.gl/7q9Z6ipdSu19g5ccA?g_st=com.google.maps.preview.copy,別府市浜脇1丁目8-20,0977-25-8118,大人700円　小人350円,10:00〜22：00（最終受付21：00）,火曜（祝日の場合は翌日）,,単純温泉,湯都ピア浜脇1分,東別府駅7分,有料Pあり（入浴者は3時間無料）,,https://www.city.beppu.oita.jp/sisetu/shieionsen/detail2.html,https://onsendo.beppu-navi.jp/y35/,
,別府温泉 浜脇温泉,第36番 浜脇温泉,https://maps.app.goo.gl/GfgNhPLsgu1boUhz6?g_st=com.google.maps.preview.copy,別府市浜脇1丁目8-20,0977-25-8118,大人200円　小人100円,6:30〜14:00　15:00～深夜1:00,第３月曜日,,単純温泉,湯都ピア浜脇 1分,東別府駅7分,１４台,,,https://onsendo.beppu-navi.jp/y36/,
,別府温泉 日の出温泉,第37番 日の出温泉,https://maps.app.goo.gl/iLuwA8ZPFNqUG5gt8?g_st=com.google.maps.preview.copy,別府市浜町22-10,なし,200円,6:30〜12:00／14:30〜深夜0:00,なし,,単純温泉,湯都ピア浜脇 6分,東別府駅7分,10台,,,https://onsendo.beppu-navi.jp/y37/,
,別府温泉 渋の湯,第38番 渋の湯,https://maps.app.goo.gl/MSSJxMEe9CXKqM9m6?g_st=com.google.maps.preview.copy,別府市鉄輪風呂本1,なし,100円(必ずコインロッカーを利用),6：30〜20：30,なし,,塩化物泉,鉄輪　3分,なし,なし,,,https://onsendo.beppu-navi.jp/y38/,
,別府温泉 熱の湯温泉,第39番 熱の湯温泉,https://maps.app.goo.gl/QTBpAuq3ZgmYiRkG7?g_st=com.google.maps.preview.copy,別府市鉄輪井田1組,なし,無料,6:30〜21:00,なし,,塩化物泉,地獄原　2分,なし,有料駐車場利用１時間200円,スタンプは入舟荘,,https://onsendo.beppu-navi.jp/y39/,
,別府温泉 鉄輪むし湯,第40番 鉄輪むし湯,https://maps.app.goo.gl/ugkiRWx5DzGx9DwD9?g_st=com.google.maps.preview.copy,別府市鉄輪上1組,0977-67-3880,700円　貸浴衣220円,6:30〜20：00（最終受付19：30）,第4木曜（祝日の場合は翌日）,,塩化物泉（浴槽）、単純温泉（むし湯、足蒸し）,鉄輪 3分,なし,熱の湯前駐車場　２時間無料,貸浴衣220円,,https://onsendo.beppu-navi.jp/y40/,
,別府温泉 ひょうたん温泉,第41番 ひょうたん温泉,https://maps.app.goo.gl/EPWhzrPJgDyd6SfP9?g_st=com.google.maps.preview.copy,別府市鉄輪159-2,0977-66-0527,・大浴場　09:00～21:00大人(13歳以上)　940円子ども(7～12歳) 400円幼児(4～6歳)　　280円3歳以下　　　　 無料,9:00〜深夜1:00,年２～３回臨時休業,"60分3名　2,400円～",塩化物泉,地獄原・ひょうたん温泉 2分,なし,100台,,https://www.hyotan-onsen.com/,https://onsendo.beppu-navi.jp/y41/,
,別府温泉 夢たまて筥,第42番 夢たまて筥,https://maps.app.goo.gl/qmiLnSsW9djNPpseA?g_st=com.google.maps.preview.copy,別府市北中1組,0570-550-078,580円※土・日・祝日16:00～22：00は780円,7:00 ～ 深夜2:00 （最終受付時間 1:30）ホテル風月・夢たまて筥 大浴場改修工事のお知らせ (yukai-r.jp)工事期間：2024 年 1 ⽉ 9 ⽇（⽕）〜 2024 年 3 ⽉ 4 ⽇（⽉）※期間中、未⼯事の浴場（1 ヶ所）を男⼥交代で時間帯を分けての利用となります。男性利⽤：7 時〜11 時、17 時〜21 時⼥性利⽤：12 時〜16 時、22 時〜26 時,なし,2000円（60分）,塩化物泉,北中　砂原　1分,なし,150台,,https://yukai-r.jp/fugetsu/service/,https://onsendo.beppu-navi.jp/y42/,
,別府温泉 みかゑり温泉,第43番 みかゑり温泉,https://maps.app.goo.gl/QGHxu5ehd8ArcZan7?g_st=com.google.maps.preview.copy,別府市火売8組2,0977-66-1186,400円,13:00〜受付20:00,なし,あり,塩化物泉,朝日小学校前　5分,なし,20台,,,https://onsendo.beppu-navi.jp/y43/,
,別府温泉 上人湯,第44番 上人湯,https://maps.app.goo.gl/jNeojEEXEMnx7R67A?g_st=com.google.maps.preview.copy,別府市鉄輪風呂本5,なし,100円,10:00〜17:00※スタンプ押印は「喫茶保月」営業時間のみ（入浴前に要確認）,なし,,塩化物泉,鉄輪　0分,なし,なし,スタンプ　喫茶保月,,https://onsendo.beppu-navi.jp/y44/,
,別府温泉 地獄原温泉,第45番 地獄原温泉,https://maps.app.goo.gl/QFjNEBYNPcrr8pzy8?g_st=com.google.maps.preview.copy,別府市鉄輪東,なし,100円,6:30〜17:00,なし　※水曜日はことぶき屋定休日のため押印不可,,塩化物泉,地獄原・ひょうたん温泉　1分,なし,なし,スタンプ　ことぶき屋,,https://onsendo.beppu-navi.jp/y45/,
,別府温泉 湯快リゾートプレミアムホテル風月,第49番 湯快リゾートプレミアムホテル風月,https://maps.app.goo.gl/XXFXdMjy8tihw6hM6?g_st=com.google.maps.preview.copy,別府市北中1組,0570-550-078,平日1000円～土・日・祝日1500円～,15:00〜翌11:00,,,塩化物泉,北中　砂原　1分,,150台,,https://yukai-r.jp/fugetsu/,https://onsendo.beppu-navi.jp/y49/,
,別府温泉 温泉閣,第51番 温泉閣,https://maps.app.goo.gl/Mb68pVm4QrY1KieY8?g_st=com.google.maps.preview.copy,別府市鉄輪風呂本1,0977-66-1767,800円,10:00〜15:00,繁忙日不可,,塩化物泉,鉄輪　3分,,8台,,http://onsenkaku.sakura.ne.jp/,https://onsendo.beppu-navi.jp/y51/,
,別府温泉 やすらぎのある宿旅館さくら屋,第52番 やすらぎのある宿旅館さくら屋,https://maps.app.goo.gl/wshF2Ca8BkBn3arVA?g_st=com.google.maps.preview.copy,別府市鉄輪風呂本3,0977-66-2328,１泊２食１万円～,IN16:00　OUT10:00,,有,塩化物泉,鉄輪　3分,,7台,,http://www.sakuraya-kannawa.jp/,https://onsendo.beppu-navi.jp/y52/,
,別府温泉 旅館みかさや,第54番 旅館みかさや,https://maps.app.goo.gl/TpEh7SJmjci7An9F7?g_st=com.google.maps.preview.copy,別府市鉄輪井田1組,0977-66-0438,"１泊素泊り5,500円～",IN15:00〜OUT10:00,,あり,塩化物泉,地獄原・ひょうたん温泉　2分,,10台,,http://www.ctb.ne.jp/~mikasa/,https://onsendo.beppu-navi.jp/y54/,
,別府温泉 別府温泉保養ランド,第58番 別府温泉保養ランド,https://maps.app.goo.gl/Rb9eeipuyGxjP2rn6?g_st=com.google.maps.preview.copy,別府市明礬5組紺屋地獄,0977-66-2221,1500円,9:00〜20:00(最終受付19：00～）,なし,,硫黄泉　酸性泉,紺屋地獄前　0分,なし,200台,,http://hoyoland.webcrow.jp/,https://onsendo.beppu-navi.jp/y58/,
,別府温泉 みょうばん湯の里,第59番 みょうばん湯の里,https://maps.app.goo.gl/AxDHUq1v93JdRfGp6?g_st=com.google.maps.preview.copy,別府市明礬6組,0977-66-8166,600円,10:00〜19：00（最終受付18：00）,なし,"2,000円～2,500円（60分）",硫黄泉,地蔵湯前　2分,なし,80台,,http://yuno-hana.jp/,https://onsendo.beppu-navi.jp/y59/,
,別府温泉 湯屋えびす,第60番 湯屋えびす,https://maps.app.goo.gl/uga5Yy1vk2dchapp8?g_st=com.google.maps.preview.copy,別府市明礬4組,0977-67-5858,"1,300円～",10:00〜22：00（受付21:00）,不定休(家族湯は水曜）,"2,000円～2,500円（60分）10:00〜20:00(受付)",硫黄泉、単純温泉,地蔵湯前 明礬　2分,なし,20台,,https://www.e-ebisu.biz/,https://onsendo.beppu-navi.jp/y60/,
,別府温泉 明礬山の湯,第61番 明礬山の湯,https://maps.app.goo.gl/pyr2MboE2VmsM6K19?g_st=com.google.maps.preview.copy,別府市明礬1組,0977-66-5881,500円,13:00〜19：00（最終受付18：00）,火曜（祝日の場合は営業、翌日休み）,"2,000円（60分）",単純温泉,地蔵湯前　1分,なし,12台,,http://www.jigoku-prin.com/hotspring/index.html,https://onsendo.beppu-navi.jp/y61/,
,別府温泉 旅館みどり荘,第64番 旅館みどり荘,https://maps.app.goo.gl/ZpusB2oAwJyxmDFH7?g_st=com.google.maps.preview.copy,別府市明礬7組,0977-66-2012,内湯、露天ともに　500円※貸切1時間1名あたり,9：00〜17：00（受付16:00）,木曜日,1人500円,硫黄泉,地蔵湯前　1分,,7台,,https://myoban-midoriso.myportfolio.com/,https://onsendo.beppu-navi.jp/y64/,
,別府温泉 浜田温泉,第66番 浜田温泉,https://maps.app.goo.gl/mg4T2M5ktzAXNZFo7?g_st=com.google.maps.preview.copy,別府市亀川浜田町991-6,0977-67-2619,大人200円　小人100円,6:30〜12：00 /13:00～22:30,第１木曜日,,塩化物泉,亀川駅　3分,亀川駅　3分,28台（障害者等1台含む）,,,https://onsendo.beppu-navi.jp/y66/,
,別府温泉 四の湯温泉,第67番 四の湯温泉,https://maps.app.goo.gl/iTEbJE8wTQdXMqXm8?g_st=com.google.maps.preview.copy,別府市亀川四の湯20-4,なし,200円,7:00〜10:30（受付10：15）14：30〜22:00（受付21：45）,毎月5・15・25日,,単純温泉,四の湯　1分,亀川駅　13分,5台,,,https://onsendo.beppu-navi.jp/y67/,
,別府温泉 競輪温泉,第68番 競輪温泉,https://maps.app.goo.gl/bdWqRbSfGjSTgbrJ7?g_st=com.google.maps.preview.copy,別府市亀川東町1-36別府競輪駐車場内,0977-67-2626,小学生以上110円,7:00〜22:00,毎月１０日、２０日,,単純温泉,照波園　1分,,約1000台,,,https://onsendo.beppu-navi.jp/y68/,
,別府温泉 亀陽泉,第69番 亀陽泉,https://maps.app.goo.gl/9xxmiq4dBYK3Qbde8?g_st=com.google.maps.preview.copy,別府市亀川中央町10-26,0977-66-2666,大人250円　小人100円,6:30〜13:00　14:00～22:30,第1水曜日（祝日の場合翌日）,,単純温泉,亀川亀陽泉前　1分,亀川駅　8分,5台(障害者等1台含む),,,https://onsendo.beppu-navi.jp/y69/,
,別府温泉 いちのいで会館,第73番 いちのいで会館,https://maps.app.goo.gl/6iaWX82wEQFRuJQf9?g_st=com.google.maps.preview.copy,別府市上原町14-2,0977-21-4728,食事をした方※食事提供休止中※期間限定入浴のみ大人700円　小人（小学生以下）300円　幼児（3歳未満）無料,平日：11:00〜17:00（最終受付16：00）土・日曜、祝日10：00～17：00（最終受付16：00）※要問合せ,"不定12/30,31",,塩化物泉,,,20台,,https://ichinoide-kaikan.jimdofree.com/,https://onsendo.beppu-navi.jp/y73/,
,別府温泉 杉乃井ホテル「棚湯」,第74番 杉乃井ホテル「棚湯」,https://maps.app.goo.gl/MfuXhukEaEQJDhAp8?g_st=com.google.maps.preview.copy,別府市観海寺1,0977-24-1141,こちらからhttps://suginoi.orixhotelsandresorts.com/contents/tanayu/※「ザ・アクアガーデン」も利用可　時期により異なる（要問合せ）,9:00〜受付22：00,,,塩化物泉,スギノイパレス　0分,,1400台,,https://www.suginoi-hotel.com/,https://onsendo.beppu-navi.jp/y74/,
,別府温泉 柴石温泉,第80番 柴石温泉,https://maps.app.goo.gl/qks4vLP7ZXbDd1ik8?g_st=com.google.maps.preview.copy,別府市野田4-1,0977-67-4100,大人300人　小人100円,【普通浴】7:00〜14：00/ 15:00～20:00【家族湯】9:00～14:00/15:00～19：00　最終受付19：00,第2水曜（祝日の場合は翌日）,"2,000円（60分4名迄）※休止中",単純温泉、塩化物泉,柴石温泉入口　5分,なし,35台,,,https://onsendo.beppu-navi.jp/y80/,
,別府温泉 市の原温泉,第81番 市の原温泉,https://maps.app.goo.gl/26F5d211VEugyZ8P8?g_st=com.google.maps.preview.copy,別府市新別府7組,なし,200円,5:30〜21:00,,,単純温泉,古寺　5分,,なし,,,https://onsendo.beppu-navi.jp/y81/,
,別府温泉 長泉寺薬師湯,第85番 長泉寺薬師湯,https://maps.app.goo.gl/Z9an9oz1HkDsvdzQ7?g_st=com.google.maps.preview.copy,別府市野田4-2,0977-66-4013,お賽銭（玄関にて署名が必要）,10:00〜16:00,不定,,酸性泉,血の池地獄前　1分,なし,5台,,,https://onsendo.beppu-navi.jp/y85/,
,別府温泉 城島高原ホテル,第87番 城島高原ホテル,https://maps.app.goo.gl/ufMPEPd3WJpRz5sH8?g_st=com.google.maps.preview.copy,別府市城島高原123-1,0977-22-1163,800円,13:00〜17:00,,,塩化物泉,城島高原パーク 3分,,82台,,https://www.kijimakogen-hotel.jp/,https://onsendo.beppu-navi.jp/y87/,
,別府温泉 春日温泉,第89番 春日温泉,https://maps.app.goo.gl/nRkZGDoKcbLos6yL9?g_st=com.google.maps.preview.copy,別府市駅前本町6-16,0977-23-1486,200円,6:30〜11:30／15:00〜23:00,なし,,炭酸水素塩泉,駅前本町 5分,別府駅4分,なし,,,https://onsendo.beppu-navi.jp/y89/,
,別府温泉 天満温泉,第92番 天満温泉,https://maps.app.goo.gl/iQpZJq4iYTfk34k3A?g_st=com.google.maps.preview.copy,別府市天満町11番8,0977-23-6886,200円,7:00～10:00／15:00～22：00,第1、第３木曜日,,塩化物泉,幸通り 3分,別府駅14分,2台（要問合せ）,,,https://onsendo.beppu-navi.jp/y92/,
,別府温泉 ホテルアーサー,第９４番 ホテルアーサー,https://maps.app.goo.gl/m1qgLEibDncTECZj7?g_st=com.google.maps.preview.copy,別府市北浜1-2-5,0977-25-2611,１泊朝食7700円～,IN17：00～12：00,,,炭酸水素塩泉,駅前本町1分,別府駅,契約Pあり,,https://kitahama-base.com/,https://onsendo.beppu-navi.jp/y94/,
,別府温泉 芝居の湯,第99番 芝居の湯,https://maps.app.goo.gl/BhHNXmBCFREQBDuT8?g_st=com.google.maps.preview.copy,別府市上野口町29-13,0977-24-5320,大人300人　小人100円,11:00〜21:00,火曜日,,単純温泉,野口原 1分,別府駅30分,30台,,,https://onsendo.beppu-navi.jp/y99/,
,別府温泉 塚原温泉火口乃泉,第100番 塚原温泉火口乃泉,https://maps.app.goo.gl/FeY4Cd9v2NfkZppx9?g_st=com.google.maps.preview.copy,別府市由布市湯布院町塚原1235,0977-85-4101,500円,（9〜12月、3〜6月）9:00〜受付17:00（1〜2月）10:00〜受付17:00（7〜8月）9:00〜受付18:00,年末年始・積雪時,"2,000円（60分大人2名小人2名迄）",酸性泉、含鉄泉,,なし,60台,,https://www.tukaharaonsen.jp/,https://onsendo.beppu-navi.jp/y100/,
,別府温泉 旅館入舟荘,第102番 旅館入舟荘,https://maps.app.goo.gl/JRy7SHvgtnrQQ4626?g_st=com.google.maps.preview.copy,別府市鉄輪井田1組,0977-66-0655,貸切湯2000円,11:00〜15:00（要問合せ）,,2000円,単純温泉,地獄原・ひょうたん温泉　2分,,5台,,https://www.irfnso.ne.jp/,https://onsendo.beppu-navi.jp/y102/,
,別府温泉 旅館みゆき屋,第103番 旅館みゆき屋,https://maps.app.goo.gl/3wPBggCjUkCmvvXdA?g_st=com.google.maps.preview.copy,別府市鉄輪東6組,0977-66-0360,"１泊朝食付　7,700円～",IN14:00〜10:00,,あり,塩化物泉,地獄原・ひょうたん温泉　1分,,10台,,https://miyukiya.net/#,https://onsendo.beppu-navi.jp/y103/,
,別府温泉 湯元屋旅館,第104番 湯元屋旅館,https://maps.app.goo.gl/UGppr64S1VDtCHQY9?g_st=com.google.maps.preview.copy,別府市明礬3組,0977-66-0322,５００円　※貸切５０分一名あたり,10:00〜14：00（受付13：30）　※宿泊者優先,不定,,含鉄泉,明礬　2分,なし,3台,,http://www.yumotoyaryokan.jp/,https://onsendo.beppu-navi.jp/y104/,
,別府温泉 亀川筋湯温泉,第106番 亀川筋湯温泉,https://maps.app.goo.gl/xZbQFS5JorSTD2UcA?g_st=com.google.maps.preview.copy,別府市亀川中央町4-16,なし,お賽銭,7:00〜19:00,,,単純温泉,亀陽泉　2分,,なし,,,https://onsendo.beppu-navi.jp/y106/,
,別府温泉 七ッ石温泉,第109番 七ッ石温泉,https://maps.app.goo.gl/c5oHEJvvoZMeUsi46?g_st=com.google.maps.preview.copy,別府市荘園2組,090-6427-4658,100円,7:00～10:00/15:00〜22:00,,,単純温泉,朝日橋　5分,,2台,,,https://onsendo.beppu-navi.jp/y109/,
,別府温泉 AMANERESORTSEIKAI潮騒の湯,第112番 AMANERESORTSEIKAI潮騒の湯,https://maps.app.goo.gl/TtAnKTomzPrpjanw6?g_st=com.google.maps.preview.copy,別府市上人ヶ浜町6-24,0977-66-3680,大人2500円小学生1000円未就学児　無料※館内レストラン利用時は下記大人1000円　12歳以下無料,12:30～22:00 (風呂受付～21:30),不定休,なし,塩化物泉,AMANE RESORT前,別府大学駅10分,60台,,https://www.seikai.co.jp/,https://onsendo.beppu-navi.jp/y112/,
,別府温泉 くつろぎの温泉宿山田別荘,第118番 くつろぎの温泉宿山田別荘,https://maps.app.goo.gl/Q2ByaMJqtgCHUGtr6?g_st=com.google.maps.preview.copy,別府市北浜3-2-18,0977-24-2121,500円,曜日不定（要確認）11:00〜15:00,不定期,内風呂５００円貸切露天風呂1000円/１名30分3000円/1グループ1時間,炭酸水素塩泉,別府タワー前 2分,,7台,,http://yamadabessou.jp/,https://onsendo.beppu-navi.jp/y118/,
,別府温泉 大黒屋,第119番 大黒屋,https://maps.app.goo.gl/nrbEwwR8uyjC6j7a6?g_st=com.google.maps.preview.copy,別府市鉄輪上3,0977-66-2301,300円,11:00〜15:00（要問合せ）,なし,,単純温泉,鉄輪　4分,,5台,,,https://onsendo.beppu-navi.jp/y119/,
,別府温泉 鬼石の湯,第125番 鬼石の湯,https://maps.app.goo.gl/uxT9b4KpgmPL58p47?g_st=com.google.maps.preview.copy,別府市鉄輪559-1,0977-27-6656,620円,10:00〜受付21:30,毎月１日（土・日、祝日の場合は翌平日）,"2,000円（60分4名迄）",塩化物泉,海地獄前　1分,なし,40台,,https://oniishi.com/,https://onsendo.beppu-navi.jp/y125/,
,別府温泉 堀田温泉,第127番 堀田温泉,https://maps.app.goo.gl/A8Z2ACQxuJo4QRut6?g_st=com.google.maps.preview.copy,別府市堀田2組,0977-24-9418,大人300人　小人100円,6:30〜22:30,第1水曜（祝日の場合は翌日）,,単純温泉,堀田温泉前　0分,なし,30台（車イス利用者用2台含む）,,,https://onsendo.beppu-navi.jp/y127/,
,別府温泉 照湯温泉,第128番 照湯温泉,https://maps.app.goo.gl/5urEKWX5whHvSFXq6?g_st=com.google.maps.preview.copy,別府市小倉5組-1,0977-51-4272,300円,9:00〜21:00,なし,,単純温泉,照湯　1分,なし,15台,,,https://onsendo.beppu-navi.jp/y128/,
,別府温泉 神丘温泉豊山荘,第129番 神丘温泉豊山荘,https://maps.app.goo.gl/DhdWYKVHAZEs2J4q9?g_st=com.google.maps.preview.copy,別府市小倉4-2,0977-21-8080,400円,13:00〜15:00,なし,あり,硫黄泉,ベネフィットフォーユー前　1分　本坊主　5分,,13台,,https://www.hozanso.com/,https://onsendo.beppu-navi.jp/y129/,
